Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
05/02/2025 11:53,923252,34,66.9,,34,3,99.2,31.2,34,34,64.8,,34,3,99.2,31.2,34,34,38.5,,34,3,99.2,31.2,34,34,47,,34,34,48.2,,34,34,68.6,,34,34,73.6,,34,34,69.5,,34,34,72.4,,34,34,75.2,,34,34,75.1,,34,34,38.5,,34,34,69.8,,34,34,41.9,,34,34,89.6,,34,34,131.5,,34,34,105.7,,34,34,83.7,,34,34,92.7,,34,34,67.4,,34,34,65,,34,34,32.7,,34,34,35.9,,34,34,68.3,,34,34,63.1,,34,0.3
05/02/2025 11:53,923282,34,71.6,,34,3,99.2,31.2,34,34,65.7,,34,3,99.2,31.2,34,34,39.4,,34,3,99.2,31.2,34,34,47.1,,34,34,48.2,,34,34,72.3,,34,34,73.3,,34,34,69.5,,34,34,73.1,,34,34,75.5,,34,34,80.1,,34,34,39.4,,34,34,72.4,,34,34,50.3,,34,34,100.4,,34,34,162.5,,34,34,124.3,,34,34,94.3,,34,34,93.8,,34,34,72.9,,34,34,71.9,,34,34,36.2,,34,34,38.3,,34,34,76.3,,34,34,70.3,,34,0.8
05/02/2025 11:54,923342,34,76.6,,34,3,99.2,31.2,34,34,69.2,,34,3,99.2,31.2,34,34,38.2,,34,3,99.2,31.2,34,34,49.7,,34,34,47.4,,34,34,75.7,,34,34,76.5,,34,34,76.3,,34,34,72.9,,34,34,83.5,,34,34,91,,34,34,38.2,,34,34,77.6,,34,34,62.6,,34,34,118.2,,34,34,161.5,,34,34,122,,34,34,98,,34,34,102.1,,34,34,76.9,,34,34,69.2,,34,34,40.2,,34,34,41.5,,34,34,87,,34,34,77.2,,34,3.1
05/02/2025 11:55,923402,34,77.5,,34,3,99.2,31.2,34,34,70.9,,34,3,99.2,31.2,34,34,40.4,,34,3,99.2,31.2,34,34,51.4,,34,34,48.2,,34,34,76.5,,34,34,79.6,,34,34,77.9,,34,34,70.8,,34,34,86.8,,34,34,87.3,,34,34,40.4,,34,34,80.3,,34,34,62.4,,34,34,117.1,,34,34,164,,34,34,122.9,,34,34,93.7,,34,34,100.9,,34,34,76.2,,34,34,73.5,,34,34,40.8,,34,34,44.6,,34,34,88.3,,34,34,78.1,,34,0.2
05/02/2025 11:56,923462,34,78,,34,3,99.2,31.2,34,34,71.6,,34,3,99.2,31.2,34,34,41.7,,34,3,99.2,31.2,34,34,52.4,,34,34,49,,34,34,79,,34,34,78.3,,34,34,78.6,,34,34,74,,34,34,88.3,,34,34,86.7,,34,34,41.7,,34,34,79.5,,34,34,62.2,,34,34,117.5,,34,34,154.9,,34,34,132.9,,34,34,93.8,,34,34,104.5,,34,34,76.7,,34,34,74.9,,34,34,40.5,,34,34,43.6,,34,34,87,,34,34,78.9,,34,0.1
05/02/2025 11:57,923522,34,76.9,,34,3,99.2,31.2,34,34,71.2,,34,3,99.2,31.2,34,34,41.5,,34,3,99.2,31.2,34,34,52,,34,34,48.2,,34,34,77.7,,34,34,78.5,,34,34,78.6,,34,34,73.5,,34,34,89.1,,34,34,87.8,,34,34,41.5,,34,34,79.4,,34,34,60.1,,34,34,89.2,,34,34,170.8,,34,34,122.4,,34,34,97.7,,34,34,97.1,,34,34,77.3,,34,34,72.3,,34,34,40.2,,34,34,43.4,,34,34,89,,34,34,76.1,,34,0
05/02/2025 11:58,923582,34,78.2,,34,3,99.2,31.2,34,34,70.9,,34,3,99.2,31.2,34,34,40.2,,34,3,99.2,31.2,34,34,44.9,,34,34,48.1,,34,34,78.6,,34,34,77,,34,34,81.9,,34,34,70.6,,34,34,90.8,,34,34,88.8,,34,34,40.2,,34,34,79.6,,34,34,63.4,,34,34,116.5,,34,34,174.7,,34,34,128.3,,34,34,98.7,,34,34,99.4,,34,34,78.1,,34,34,70.8,,34,34,41.4,,34,34,43.3,,34,34,89.1,,34,34,77.5,,34,0.6
05/02/2025 11:59,923642,34,77.5,,34,3,99.2,31.2,34,34,72.1,,34,3,99.2,31.2,34,34,43,,34,3,99.2,31.2,34,34,54.6,,34,34,49.1,,34,34,78.3,,34,34,76.9,,34,34,81.8,,34,34,69.5,,34,34,88.7,,34,34,86.4,,34,34,43,,34,34,79.2,,34,34,61.3,,34,34,117.7,,34,34,172.8,,34,34,122,,34,34,97.5,,34,34,97.1,,34,34,78,,34,34,73.8,,34,34,40.9,,34,34,44,,34,34,80.4,,34,34,74.3,,34,0.6
05/02/2025 12:00,923702,34,78,,34,3,99.2,31.2,34,34,71.7,,34,3,99.2,31.2,34,34,41.2,,34,3,99.2,31.2,34,34,50.5,,34,34,47.1,,34,34,79.5,,34,34,77.1,,34,34,81.8,,34,34,69.8,,34,34,89.1,,34,34,86.9,,34,34,41.2,,34,34,80.6,,34,34,62.1,,34,34,117.5,,34,34,168.4,,34,34,123.7,,34,34,99.3,,34,34,94.4,,34,34,84.2,,34,34,72.5,,34,34,40.8,,34,34,40.8,,34,34,89.2,,34,34,76.6,,34,0.3
05/02/2025 12:01,923762,34,77.2,,34,3,99.2,31.2,34,34,71.1,,34,3,99.2,31.2,34,34,40.1,,34,3,99.2,31.2,34,34,48.8,,34,34,49,,34,34,77.6,,34,34,76.8,,34,34,81.8,,34,34,66.9,,34,34,87.5,,34,34,88,,34,34,40.1,,34,34,80.1,,34,34,61.7,,34,34,117.1,,34,34,171.6,,34,34,130.1,,34,34,98.9,,34,34,97.6,,34,34,77.6,,34,34,70.6,,34,34,40.9,,34,34,32.6,,34,34,92,,34,34,76.3,,34,0.3
05/02/2025 12:02,923822,34,78.1,,34,3,99.2,31.2,34,34,72,,34,3,99.2,31.2,34,34,41.4,,34,3,99.2,31.2,34,34,50.3,,34,34,48.9,,34,34,80.5,,34,34,76.3,,34,34,81.8,,34,34,67.7,,34,34,89.8,,34,34,89.8,,34,34,41.4,,34,34,81.2,,34,34,59.1,,34,34,119.8,,34,34,168.3,,34,34,124.1,,34,34,97.8,,34,34,94,,34,34,78.8,,34,34,72.3,,34,34,41,,34,34,43.6,,34,34,91,,34,34,77.8,,34,0.1
05/02/2025 12:03,923882,34,77.7,,34,3,99.2,31.2,34,34,71.8,,34,3,99.2,31.2,34,34,41.2,,34,3,99.2,31.2,34,34,49.1,,34,34,47.5,,34,34,79.9,,34,34,78,,34,34,81.6,,34,34,67.8,,34,34,87.1,,34,34,88.6,,34,34,41.2,,34,34,80.6,,34,34,61.2,,34,34,117.4,,34,34,166,,34,34,130.9,,34,34,97.4,,34,34,93.9,,34,34,77.5,,34,34,72.8,,34,34,40.8,,34,34,41.2,,34,34,90.3,,34,34,76.9,,34,0.3
05/02/2025 12:04,923942,34,77.4,,34,3,99.2,31.2,34,34,71.2,,34,3,99.2,31.2,34,34,41.7,,34,3,99.2,31.2,34,34,49.6,,34,34,47.7,,34,34,78.4,,34,34,77.2,,34,34,80.9,,34,34,67.9,,34,34,88.9,,34,34,92.2,,34,34,41.7,,34,34,80.2,,34,34,60.6,,34,34,120.6,,34,34,173.3,,34,34,122.5,,34,34,98.2,,34,34,92.9,,34,34,60.8,,34,34,72.5,,34,34,39.9,,34,34,50.3,,34,34,89.4,,34,34,78,,34,0.4
05/02/2025 12:05,924002,34,77.5,,34,3,99.2,31.2,34,34,71.6,,34,3,99.2,31.2,34,34,42.2,,34,3,99.2,31.2,34,34,48.7,,34,34,47.2,,34,34,79.5,,34,34,78.3,,34,34,80.9,,34,34,67.2,,34,34,91.1,,34,34,89.4,,34,34,42.2,,34,34,80.5,,34,34,60.8,,34,34,118.9,,34,34,163.2,,34,34,126,,34,34,93.8,,34,34,93.3,,34,34,75.7,,34,34,72.1,,34,34,38.9,,34,34,42.5,,34,34,90.8,,34,34,77.8,,34,0.3
05/02/2025 12:06,924062,34,77.3,,34,3,99.2,31.2,34,34,71.1,,34,3,99.2,31.2,34,34,42.2,,34,3,99.2,31.2,34,34,48.9,,34,34,48.5,,34,34,78.8,,34,34,78.1,,34,34,79,,34,34,68,,34,34,88,,34,34,87.2,,34,34,42.2,,34,34,79.7,,34,34,61.8,,34,34,117.5,,34,34,169.2,,34,34,122.4,,34,34,98.3,,34,34,92.5,,34,34,78.9,,34,34,71,,34,34,40.1,,34,34,42.5,,34,34,88.3,,34,34,77.3,,34,0.1
05/02/2025 12:07,924122,34,78.1,,34,3,99.2,31.2,34,34,71.6,,34,3,99.2,31.2,34,34,42.8,,34,3,99.2,31.2,34,34,50.1,,34,34,48,,34,34,80.6,,34,34,78.1,,34,34,79,,34,34,69.6,,34,34,88.3,,34,34,87.8,,34,34,42.8,,34,34,80,,34,34,62,,34,34,117.7,,34,34,171,,34,34,132.5,,34,34,96.7,,34,34,96.2,,34,34,76.9,,34,34,71.4,,34,34,40.3,,34,34,41.4,,34,34,91.7,,34,34,79.5,,34,0
05/02/2025 12:08,924182,34,76.9,,34,3,99.2,31.2,34,34,70.3,,34,3,99.2,31.2,34,34,38.1,,34,3,99.2,31.2,34,34,48.7,,34,34,47.8,,34,34,79.2,,34,34,76.6,,34,34,77.4,,34,34,67.2,,34,34,87.5,,34,34,86.7,,34,34,38.1,,34,34,79.8,,34,34,62.2,,34,34,119.3,,34,34,170.6,,34,34,123.3,,34,34,96.9,,34,34,91.2,,34,34,78,,34,34,71.9,,34,34,40.1,,34,34,41.1,,34,34,89.8,,34,34,77.8,,34,0.6
05/02/2025 12:09,924242,34,77.7,,34,3,99.2,31.2,34,34,71.3,,34,3,99.2,31.2,34,34,41.7,,34,3,99.2,31.2,34,34,47,,34,34,47.8,,34,34,78.9,,34,34,79.4,,34,34,79.8,,34,34,68.7,,34,34,88.1,,34,34,87.8,,34,34,41.7,,34,34,80.7,,34,34,62.3,,34,34,119.3,,34,34,169.1,,34,34,126.2,,34,34,95.7,,34,34,92.2,,34,34,77.2,,34,34,71.1,,34,34,40,,34,34,43.5,,34,34,90.5,,34,34,78.9,,34,0.1
05/02/2025 12:10,924302,34,77.3,,34,3,99.2,31.2,34,34,71.5,,34,3,99.2,31.2,34,34,41.2,,34,3,99.2,31.2,34,34,48.6,,34,34,48.2,,34,34,81.1,,34,34,76.9,,34,34,80,,34,34,69,,34,34,87.3,,34,34,87.2,,34,34,41.2,,34,34,78.8,,34,34,62.6,,34,34,121.9,,34,34,169.1,,34,34,130.7,,34,34,95.9,,34,34,93.8,,34,34,77.1,,34,34,70.9,,34,34,39.4,,34,34,41.1,,34,34,87.7,,34,34,74.9,,34,0.3
05/02/2025 12:11,924362,34,77.4,,34,3,99.2,31.2,34,34,70.9,,34,3,99.2,31.2,34,34,41.5,,34,3,99.2,31.2,34,34,48.6,,34,34,47.5,,34,34,78.6,,34,34,77.4,,34,34,80,,34,34,67.3,,34,34,87.7,,34,34,86.7,,34,34,41.5,,34,34,79.6,,34,34,61.5,,34,34,120.7,,34,34,168.7,,34,34,124.8,,34,34,95.2,,34,34,96.7,,34,34,76.8,,34,34,72.9,,34,34,40.2,,34,34,41.8,,34,34,90.7,,34,34,78.7,,34,0.2
05/02/2025 12:12,924422,34,76.9,,34,3,99.2,31.2,34,34,69.7,,34,3,99.2,31.2,34,34,41.9,,34,3,99.2,31.2,34,34,49.2,,34,34,47.7,,34,34,74.5,,34,34,76.3,,34,34,80,,34,34,68.1,,34,34,87.3,,34,34,86.5,,34,34,41.9,,34,34,79.6,,34,34,60.6,,34,34,117.5,,34,34,173.5,,34,34,127.8,,34,34,100.4,,34,34,96.1,,34,34,76.6,,34,34,69.7,,34,34,39.9,,34,34,40.5,,34,34,86.8,,34,34,77.6,,34,0.1
05/02/2025 12:13,924482,34,77.5,,34,3,99.2,31.2,34,34,71,,34,3,99.2,31.2,34,34,40.7,,34,3,99.2,31.2,34,34,48.7,,34,34,47.5,,34,34,78.2,,34,34,77.7,,34,34,80.2,,34,34,70.4,,34,34,88.5,,34,34,89.1,,34,34,40.7,,34,34,80.4,,34,34,59.4,,34,34,117.8,,34,34,171.7,,34,34,122.1,,34,34,101.1,,34,34,94.8,,34,34,76.4,,34,34,71.9,,34,34,39.4,,34,34,42,,34,34,89.8,,34,34,77.4,,34,0
05/02/2025 12:14,924542,34,77.6,,34,3,99.2,31.2,34,34,71.4,,34,3,99.2,31.2,34,34,43,,34,3,99.2,31.2,34,34,50.2,,34,34,47.5,,34,34,78.3,,34,34,78.5,,34,34,80.2,,34,34,68.7,,34,34,88.9,,34,34,86.9,,34,34,43,,34,34,80.6,,34,34,59.5,,34,34,118.9,,34,34,167.5,,34,34,126.8,,34,34,98.7,,34,34,97.4,,34,34,75.4,,34,34,71.9,,34,34,40.1,,34,34,42.3,,34,34,89.3,,34,34,79,,34,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
